areaCode,areaName,areaType,date,cumCasesBySpecimenDate
E12000002,North West,region,2020-11-30,309562
E12000002,North West,region,2020-11-29,307678
E12000002,North West,region,2020-11-28,306629
E12000002,North West,region,2020-11-27,305484
E12000002,North West,region,2020-11-26,304053
E12000002,North West,region,2020-11-25,302459
E12000002,North West,region,2020-11-24,300623
E12000002,North West,region,2020-11-23,298766
E12000002,North West,region,2020-11-22,296578
E12000002,North West,region,2020-11-21,295197
E12000002,North West,region,2020-11-20,293820
E12000002,North West,region,2020-11-19,291834
E12000002,North West,region,2020-11-18,289657
E12000002,North West,region,2020-11-17,287076
E12000002,North West,region,2020-11-16,284031
E12000002,North West,region,2020-11-15,280659
E12000002,North West,region,2020-11-14,278542
E12000002,North West,region,2020-11-13,276164
E12000002,North West,region,2020-11-12,272939
E12000002,North West,region,2020-11-11,269514
E12000002,North West,region,2020-11-10,265587
E12000002,North West,region,2020-11-09,261690
E12000002,North West,region,2020-11-08,256965
E12000002,North West,region,2020-11-07,253789
E12000002,North West,region,2020-11-06,250979
E12000002,North West,region,2020-11-05,247122
E12000002,North West,region,2020-11-04,243207
E12000002,North West,region,2020-11-03,239121
E12000002,North West,region,2020-11-02,234680
E12000002,North West,region,2020-11-01,228755
E12000002,North West,region,2020-10-31,225685
E12000002,North West,region,2020-10-30,222543
E12000002,North West,region,2020-10-29,218167
E12000002,North West,region,2020-10-28,213620
E12000002,North West,region,2020-10-27,208971
E12000002,North West,region,2020-10-26,204035
E12000002,North West,region,2020-10-25,198491
E12000002,North West,region,2020-10-24,195213
E12000002,North West,region,2020-10-23,191819
E12000002,North West,region,2020-10-22,187341
E12000002,North West,region,2020-10-21,182558
E12000002,North West,region,2020-10-20,177015
E12000002,North West,region,2020-10-19,171418
E12000002,North West,region,2020-10-18,165264
E12000002,North West,region,2020-10-17,162050
E12000002,North West,region,2020-10-16,158461
E12000002,North West,region,2020-10-15,154570
E12000002,North West,region,2020-10-14,150398
E12000002,North West,region,2020-10-13,145922
E12000002,North West,region,2020-10-12,141644
E12000002,North West,region,2020-10-11,136889
E12000002,North West,region,2020-10-10,133958
E12000002,North West,region,2020-10-09,131020
E12000002,North West,region,2020-10-08,127280
E12000002,North West,region,2020-10-07,123004
E12000002,North West,region,2020-10-06,118642
